notice_id,title,url,date,start_date,end_date,thumbnail
1283,스페셜 썬데이 메이플,https://maplestory.nexon.com/News/Event/Ongoing/1283,2026-03-01 00:00:00+09,2026-03-01 00:00:00+09,2026-03-01 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5629592185247630225
1278,프론티어 패스,https://maplestory.nexon.com/News/Event/Ongoing/1278,2026-02-12 00:00:00+09,2026-02-12 00:00:00+09,2026-04-15 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5125188949672723506
1277,사냥 가속! 헤이스트 BEYOND,https://maplestory.nexon.com/News/Event/Ongoing/1277,2026-02-12 00:00:00+09,2026-02-12 00:00:00+09,2026-03-18 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=4909016146084103561
1275,신을 삼킨 자,https://maplestory.nexon.com/News/Event/Ongoing/1275,2026-02-12 00:00:00+09,2026-02-12 00:00:00+09,2026-03-18 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=4909016236278416182
1274,프리미엄PC방 접속보상 이벤트&기프트샵,https://maplestory.nexon.com/News/Event/Ongoing/1274,2026-02-12 00:00:00+09,2026-02-12 00:00:00+09,2026-03-19 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=4692843312430712105
1265,주간 일러스트 의뢰 티켓 판매 이벤트,https://maplestory.nexon.com/News/Event/Ongoing/1265,2026-01-15 00:00:00+09,2026-01-15 00:00:00+09,2026-03-18 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5557534621274473061
1256,챌린저스 월드 시즌 3,https://maplestory.nexon.com/News/Event/Ongoing/1256,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-04-16 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5629539258365646736
1255,아이템 버닝 PLUS,https://maplestory.nexon.com/News/Event/Ongoing/1255,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-04-22 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5701596912533116615
1254,하이퍼 버닝 MAX,https://maplestory.nexon.com/News/Event/Ongoing/1254,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-06-17 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5557481775996867963
1253,버닝 BEYOND,https://maplestory.nexon.com/News/Event/Ongoing/1253,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-06-17 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5485424078879725097
1248,카이 최초 격파 이벤트,https://maplestory.nexon.com/News/Event/Ongoing/1248,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-04-15 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5701597037087167046
1247,챌린저스 파트너,https://maplestory.nexon.com/News/Event/Ongoing/1247,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-04-15 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=4908963455425319413
1245,의문의 결계,https://maplestory.nexon.com/News/Event/Ongoing/1245,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-04-15 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=4908963386705843726
1244,수정모멘텀 패스,https://maplestory.nexon.com/News/Event/Ongoing/1244,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-03-18 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5269251365485418802
1243,엘라노스 크로니클,https://maplestory.nexon.com/News/Event/Ongoing/1243,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-03-18 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5197193711317949222
1242,탈라하트 판타지아,https://maplestory.nexon.com/News/Event/Ongoing/1242,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-03-18 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5701597024202265682
1240,겨울나기 미션,https://maplestory.nexon.com/News/Event/Ongoing/1240,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-03-18 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5053078587666603967
1239,일루전 코인샵 & 환영의 기억,https://maplestory.nexon.com/News/Event/Ongoing/1239,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-03-18 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=4620732967604458845
1237,VIP 사우나,https://maplestory.nexon.com/News/Event/Ongoing/1237,2025-12-18 00:00:00+09,2025-12-18 00:00:00+09,2026-06-17 00:00:00+09,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5629592086463382816
